Customer ID,Recency,Frequency,Monetary,Customer_Age,Customer_Lifespan_Years,CLV,Churn_Prediction_Rate,CLV_segment,Churn_Risk,Customer_Segment
12446.0,58,58,1002.3100000000001,57,0.15616438356164383,156.53,35.69528,Bronze,Low Risk,Bronze-Low Risk
12447.0,243,26,476.49,242,0.663013698630137,315.92,,Silver,High Risk,Silver-High Risk
12448.0,44,22,449.45,43,0.1178082191780822,52.95,,Bronze,High Risk,Bronze-High Risk
12449.0,22,201,4835.89,438,1.2,5803.07,,Platinum,High Risk,Platinum-High Risk
12450.0,156,37,688.2,473,1.295890410958904,891.83,,Silver,High Risk,Silver-High Risk
12451.0,11,511,12669.88,528,1.4465753424657535,18327.94,,Platinum,High Risk,Platinum-High Risk
12452.0,17,22,430.57,16,0.043835616438356165,18.87,61.98027,Bronze,Medium Risk,Bronze-Medium Risk
12453.0,134,43,707.09,133,0.3643835616438356,257.65,36.904423,Bronze,Low Risk,Bronze-Low Risk
12454.0,56,40,16679.78,420,1.1506849315068493,19193.17,,Platinum,High Risk,Platinum-High Risk
12455.0,73,227,5879.95,721,1.9753424657534246,11614.91,4.4624352,Platinum,Low Risk,Platinum-Low Risk
12456.0,44,125,3181.04,254,0.6958904109589041,2213.66,,Gold,High Risk,Gold-High Risk
12457.0,66,85,2995.91,434,1.189041095890411,3562.26,22.441837,Platinum,Low Risk,Platinum-Low Risk
12458.0,71,84,1777.49,487,1.3342465753424657,2371.61,,Gold,High Risk,Gold-High Risk
12459.0,605,23,454.36,604,1.6547945205479453,751.87,59.177597,Silver,Medium Risk,Silver-Medium Risk
12460.0,456,18,326.65,455,1.2465753424657535,407.19,45.355522,Silver,Low Risk,Silver-Low Risk
12461.0,94,35,826.88,154,0.42191780821917807,348.88,,Silver,High Risk,Silver-High Risk
12462.0,19,62,1189.59,302,0.8273972602739726,984.26,30.5119,Silver,Low Risk,Silver-Low Risk
12463.0,53,83,1344.78,241,0.6602739726027397,887.92,17.612194,Silver,Low Risk,Silver-Low Risk
12464.0,10,29,1212.05,308,0.8438356164383561,1022.77,,Gold,High Risk,Gold-High Risk
12465.0,17,47,742.1899999999999,168,0.4602739726027397,341.61,,Silver,High Risk,Silver-High Risk
12466.0,682,1,56.73,681,1.8657534246575342,105.84,90.673225,Bronze,High Risk,Bronze-High Risk
12467.0,423,9,132.8,422,1.1561643835616437,153.54,65.69239,Bronze,Medium Risk,Bronze-Medium Risk
12468.0,188,150,3670.74,682,1.8684931506849316,6858.75,7.121809,Platinum,Low Risk,Platinum-Low Risk
12469.0,523,76,3070.54,536,1.4684931506849315,4509.07,26.22726,Platinum,Low Risk,Platinum-Low Risk
12470.0,690,23,211.95,689,1.8876712328767122,400.09,70.325745,Silver,Medium Risk,Silver-Medium Risk
12471.0,2,1138,39963.79,732,2.0054794520547947,80146.56,,Platinum,High Risk,Platinum-High Risk
12472.0,32,911,17880.59,725,1.9863013698630136,35516.24,,Platinum,High Risk,Platinum-High Risk
12473.0,29,168,3938.5499999999997,191,0.5232876712328767,2060.99,,Gold,High Risk,Gold-High Risk
12474.0,17,710,12424.45,666,1.8246575342465754,22670.37,3.1341429,Platinum,Low Risk,Platinum-Low Risk
12475.0,54,61,1149.64,409,1.1205479452054794,1288.23,29.995102,Gold,Low Risk,Gold-Low Risk
12476.0,16,516,14115.41,501,1.3726027397260274,19374.85,3.12097,Platinum,Low Risk,Platinum-Low Risk
12477.0,23,564,20276.37,622,1.704109589041096,34553.16,,Platinum,High Risk,Platinum-High Risk
12478.0,4,36,680.99,3,0.00821917808219178,5.6,,Bronze,High Risk,Bronze-High Risk
12479.0,11,31,527.2,10,0.0273972602739726,14.44,49.167484,Bronze,Low Risk,Bronze-Low Risk
12480.0,28,242,5464.85,506,1.3863013698630138,7575.93,,Platinum,High Risk,Platinum-High Risk
12481.0,23,391,12361.39,606,1.6602739726027398,20523.29,2.7468505,Platinum,Low Risk,Platinum-Low Risk
12482.0,576,204,23691.4,653,1.789041095890411,42384.89,9.077244,Platinum,Low Risk,Platinum-Low Risk
12483.0,17,139,5120.58,676,1.8520547945205479,9483.59,,Platinum,High Risk,Platinum-High Risk
12484.0,33,475,6370.15,680,1.8630136986301369,11867.68,3.2232382,Platinum,Low Risk,Platinum-Low Risk
12485.0,529,34,708.1,528,1.4465753424657535,1024.32,50.66608,Gold,Low Risk,Gold-Low Risk
12486.0,432,49,1037.28,431,1.180821917808219,1224.84,51.85816,Gold,Low Risk,Gold-Low Risk
12487.0,731,2,285.29999999999995,730,2.0,570.6,68.55749,Silver,Medium Risk,Silver-Medium Risk
12488.0,10,55,1298.66,75,0.2054794520547945,266.85,,Bronze,High Risk,Bronze-High Risk
12489.0,336,15,334.93,335,0.9178082191780822,307.4,47.30046,Silver,Low Risk,Silver-Low Risk
12490.0,5,462,9823.64,737,2.0191780821917806,19835.68,1.8754283,Platinum,Low Risk,Platinum-Low Risk
12491.0,39,26,460.40000000000003,38,0.10410958904109589,47.93,,Bronze,High Risk,Bronze-High Risk
12492.0,63,42,715.21,402,1.1013698630136985,787.71,41.690804,Silver,Low Risk,Silver-Low Risk
12493.0,166,22,433.74,196,0.536986301369863,232.91,,Bronze,High Risk,Bronze-High Risk
12494.0,16,111,1872.8700000000001,575,1.5753424657534247,2950.41,,Gold,High Risk,Gold-High Risk
12495.0,641,17,357.4,640,1.7534246575342465,626.67,63.33508,Silver,Medium Risk,Silver-Medium Risk
12496.0,620,13,54.09,619,1.6958904109589041,91.73,76.80177,Bronze,High Risk,Bronze-High Risk
12497.0,82,57,6248.5,644,1.7643835616438357,11024.75,,Platinum,High Risk,Platinum-High Risk
12498.0,21,23,403.70000000000005,57,0.15616438356164383,63.04,,Bronze,High Risk,Bronze-High Risk
12499.0,560,27,393.72,559,1.5315068493150685,602.98,58.06357,Silver,Medium Risk,Silver-Medium Risk
12500.0,23,146,5955.21,672,1.841095890410959,10964.11,,Platinum,High Risk,Platinum-High Risk
12501.0,337,149,2169.39,336,0.9205479452054794,1997.03,18.501726,Gold,Low Risk,Gold-Low Risk
12502.0,96,147,3723.87,309,0.8465753424657534,3152.54,8.734323,Gold,Low Risk,Gold-Low Risk
12503.0,584,2,1126.0,583,1.5972602739726027,1798.52,66.37814,Gold,Medium Risk,Gold-Medium Risk
12504.0,18,20,779.05,596,1.632876712328767,1272.09,43.48833,Gold,Low Risk,Gold-Low Risk
12505.0,409,42,955.2,408,1.1178082191780823,1067.73,37.411198,Gold,Low Risk,Gold-Low Risk
12506.0,233,23,73.5,232,0.6356164383561644,46.72,,Bronze,High Risk,Bronze-High Risk
12507.0,134,50,1844.06,584,1.6,2950.5,33.484257,Gold,Low Risk,Gold-Low Risk
12508.0,26,69,398.27,28,0.07671232876712329,30.55,23.707184,Bronze,Low Risk,Bronze-Low Risk
12509.0,284,7,176.5,283,0.7753424657534247,136.85,48.933895,Bronze,Low Risk,Bronze-Low Risk
12510.0,143,145,5178.02,734,2.010958904109589,10412.79,,Platinum,High Risk,Platinum-High Risk
12511.0,429,190,3084.02,428,1.1726027397260275,3616.33,15.675746,Platinum,Low Risk,Platinum-Low Risk
12512.0,66,34,138.03,65,0.1780821917808219,24.58,66.58337,Bronze,Medium Risk,Bronze-Medium Risk
12513.0,113,35,612.29,112,0.30684931506849317,187.88,,Bronze,High Risk,Bronze-High Risk
12514.0,267,84,1597.76,641,1.7561643835616438,2805.93,,Gold,High Risk,Gold-High Risk
12515.0,353,16,383.7,352,0.9643835616438357,370.03,63.088585,Silver,Medium Risk,Silver-Medium Risk
12516.0,78,74,2648.62,598,1.6383561643835616,4339.38,25.669733,Platinum,Low Risk,Platinum-Low Risk
12517.0,28,284,2502.84,189,0.5178082191780822,1295.99,6.713328,Gold,Low Risk,Gold-Low Risk
12518.0,1,124,2056.89,109,0.29863013698630136,614.25,,Silver,High Risk,Silver-High Risk
12519.0,64,40,726.54,476,1.3041095890410959,947.49,,Silver,High Risk,Silver-High Risk
12520.0,79,152,2634.26,273,0.7479452054794521,1970.28,,Gold,High Risk,Gold-High Risk
12521.0,143,38,599.68,142,0.38904109589041097,233.3,44.27675,Bronze,Low Risk,Bronze-Low Risk
12522.0,39,12,192.72,50,0.136986301369863,26.4,63.923557,Bronze,Medium Risk,Bronze-Medium Risk
12523.0,19,250,4372.15,731,2.0027397260273974,8756.28,,Platinum,High Risk,Platinum-High Risk
12524.0,9,240,11126.11,668,1.83013698630137,20362.31,2.7468505,Platinum,Low Risk,Platinum-Low Risk
12525.0,498,60,973.73,646,1.7698630136986302,1723.37,14.730716,Gold,Low Risk,Gold-Low Risk
12526.0,1,71,1316.66,93,0.2547945205479452,335.48,30.461243,Silver,Low Risk,Silver-Low Risk
12527.0,82,32,735.51,528,1.4465753424657535,1063.97,39.142876,Gold,Low Risk,Gold-Low Risk
12528.0,9,92,1933.48,312,0.8547945205479452,1652.73,27.93649,Gold,Low Risk,Gold-Low Risk
12529.0,528,21,316.48,527,1.4438356164383561,456.95,45.275135,Silver,Low Risk,Silver-Low Risk
12530.0,60,158,3759.26,641,1.7561643835616438,6601.88,,Platinum,High Risk,Platinum-High Risk
12531.0,15,127,1933.2,685,1.8767123287671232,3628.06,,Platinum,High Risk,Platinum-High Risk
12532.0,30,16,349.83000000000004,29,0.07945205479452055,27.79,,Bronze,High Risk,Bronze-High Risk
12533.0,628,72,1367.89,738,2.021917808219178,2765.76,32.002888,Gold,Low Risk,Gold-Low Risk
12534.0,131,63,1089.18,130,0.3561643835616438,387.93,,Silver,High Risk,Silver-High Risk
12535.0,92,34,716.35,186,0.5095890410958904,365.04,21.945446,Silver,Low Risk,Silver-Low Risk
12536.0,43,261,12601.830000000002,58,0.1589041095890411,2002.48,2.0425754,Gold,Low Risk,Gold-Low Risk
12537.0,409,43,732.94,408,1.1178082191780823,819.29,54.692574,Silver,Low Risk,Silver-Low Risk
12538.0,29,34,640.45,377,1.0328767123287672,661.51,,Silver,High Risk,Silver-High Risk
12539.0,22,504,11214.75,715,1.9589041095890412,21968.62,,Platinum,High Risk,Platinum-High Risk
12540.0,20,771,22254.49,731,2.0027397260273974,44569.95,,Platinum,High Risk,Platinum-High Risk
12541.0,30,52,981.18,280,0.7671232876712328,752.69,,Silver,High Risk,Silver-High Risk
12542.0,484,39,481.88,639,1.7506849315068493,843.62,56.19017,Silver,Medium Risk,Silver-Medium Risk
12543.0,448,43,980.25,447,1.2246575342465753,1200.47,35.338795,Gold,Low Risk,Gold-Low Risk
12544.0,36,19,372.7,35,0.0958904109589041,35.74,63.088585,Bronze,Medium Risk,Bronze-Medium Risk
12545.0,75,50,1000.39,259,0.7095890410958904,709.87,35.764977,Silver,Low Risk,Silver-Low Risk
12546.0,47,69,1161.5,77,0.21095890410958903,245.03,32.054924,Bronze,Low Risk,Bronze-Low Risk
12547.0,198,21,383.58,499,1.367123287671233,524.4,,Silver,High Risk,Silver-High Risk
12548.0,166,5,95.19999999999999,165,0.4520547945205479,43.04,,Bronze,High Risk,Bronze-High Risk
12549.0,576,49,1575.68,697,1.9095890410958904,3008.9,33.484257,Gold,Low Risk,Gold-Low Risk
12550.0,79,57,964.83,78,0.2136986301369863,206.18,35.487766,Bronze,Low Risk,Bronze-Low Risk
12551.0,358,10,168.0,357,0.9780821917808219,164.32,65.54064,Bronze,Medium Risk,Bronze-Medium Risk
12552.0,39,20,437.82,39,0.10684931506849316,46.78,,Bronze,High Risk,Bronze-High Risk
12553.0,8,238,4608.75,422,1.1561643835616437,5328.47,3.1443021,Platinum,Low Risk,Platinum-Low Risk
12554.0,449,26,468.5,448,1.2273972602739727,575.04,61.59011,Silver,Medium Risk,Silver-Medium Risk
12555.0,682,1,129.23,681,1.8657534246575342,241.11,85.606476,Bronze,High Risk,Bronze-High Risk
12556.0,50,121,603.71,150,0.410958904109589,248.1,,Bronze,High Risk,Bronze-High Risk
12557.0,16,58,18716.14,722,1.978082191780822,37022.06,29.74763,Platinum,Low Risk,Platinum-Low Risk
12558.0,8,11,269.96,7,0.019178082191780823,5.18,,Bronze,High Risk,Bronze-High Risk
12559.0,311,21,561.71,319,0.873972602739726,490.92,54.77082,Silver,Low Risk,Silver-Low Risk
12560.0,5,105,2134.01,142,0.38904109589041097,830.22,23.522026,Silver,Low Risk,Silver-Low Risk
12561.0,303,16,238.85,302,0.8273972602739726,197.62,,Bronze,High Risk,Bronze-High Risk
12562.0,8,207,4966.92,434,1.189041095890411,5905.87,,Platinum,High Risk,Platinum-High Risk
12563.0,409,13,249.24,408,1.1178082191780823,278.6,68.264305,Bronze,Medium Risk,Bronze-Medium Risk
12564.0,261,21,456.9,260,0.7123287671232876,325.46,,Silver,High Risk,Silver-High Risk
12565.0,289,9,145.92,288,0.7890410958904109,115.14,,Bronze,High Risk,Bronze-High Risk
12566.0,86,19,351.65,85,0.2328767123287671,81.89,,Bronze,High Risk,Bronze-High Risk
12567.0,23,639,13709.86,666,1.8246575342465754,25015.8,,Platinum,High Risk,Platinum-High Risk
12568.0,645,5,70.0,644,1.7643835616438357,123.51,74.64615,Bronze,Medium Risk,Bronze-Medium Risk
12569.0,2,188,4124.69,251,0.6876712328767123,2836.43,,Gold,High Risk,Gold-High Risk
12570.0,682,1,77.52,681,1.8657534246575342,144.63,92.251755,Bronze,High Risk,Bronze-High Risk
12571.0,40,34,519.61,121,0.3315068493150685,172.25,,Bronze,High Risk,Bronze-High Risk
12572.0,9,60,1020.42,51,0.13972602739726028,142.58,29.592953,Bronze,Low Risk,Bronze-Low Risk
12573.0,227,119,717.41,464,1.2712328767123289,912.0,12.137212,Silver,Low Risk,Silver-Low Risk
12574.0,316,11,218.45,315,0.863013698630137,188.53,,Bronze,High Risk,Bronze-High Risk
12575.0,457,38,622.8199999999999,526,1.441095890410959,897.54,22.486813,Silver,Low Risk,Silver-Low Risk
12576.0,36,142,2142.72,525,1.4383561643835616,3081.99,,Gold,High Risk,Gold-High Risk
12577.0,35,302,1653.75,735,2.0136986301369864,3330.15,,Gold,High Risk,Gold-High Risk
12578.0,21,172,4642.45,443,1.2136986301369863,5634.54,7.316144,Platinum,Low Risk,Platinum-Low Risk
12579.0,78,29,440.42,77,0.21095890410958903,92.91,,Bronze,High Risk,Bronze-High Risk
12580.0,247,58,1052.9,576,1.5780821917808219,1661.56,,Gold,High Risk,Gold-High Risk
12581.0,40,15,197.71,39,0.10684931506849316,21.13,64.094666,Bronze,Medium Risk,Bronze-Medium Risk
12582.0,239,103,1980.4,577,1.5808219178082192,3130.66,23.2446,Gold,Low Risk,Gold-Low Risk
12583.0,3,466,14447.44,733,2.0082191780821916,29013.63,,Platinum,High Risk,Platinum-High Risk
12584.0,4,96,2338.15,279,0.7643835616438356,1787.24,,Gold,High Risk,Gold-High Risk
12585.0,234,87,2040.1,350,0.958904109589041,1956.26,31.305605,Gold,Low Risk,Gold-Low Risk
12586.0,17,94,2062.67,722,1.978082191780822,4080.13,,Platinum,High Risk,Platinum-High Risk
12587.0,8,4,144.0,7,0.019178082191780823,2.76,,Bronze,High Risk,Bronze-High Risk
12588.0,39,46,958.78,597,1.6356164383561644,1568.2,,Gold,High Risk,Gold-High Risk
12589.0,29,180,4695.66,689,1.8876712328767122,8863.86,5.272461,Platinum,Low Risk,Platinum-Low Risk
12590.0,211,68,9864.26,210,0.5753424657534246,5675.33,,Platinum,High Risk,Platinum-High Risk
12591.0,317,69,1352.15,408,1.1178082191780823,1511.44,,Gold,High Risk,Gold-High Risk
12592.0,92,81,2582.66,518,1.4191780821917808,3665.25,25.669733,Platinum,Low Risk,Platinum-Low Risk
12593.0,109,21,418.09999999999997,218,0.5972602739726027,249.71,38.710907,Bronze,Low Risk,Bronze-Low Risk
12594.0,38,199,5090.110000000001,645,1.7671232876712328,8994.85,5.3087378,Platinum,Low Risk,Platinum-Low Risk
12595.0,505,19,299.02,504,1.3808219178082193,412.89,61.26693,Silver,Medium Risk,Silver-Medium Risk
12596.0,51,27,618.27,241,0.6602739726027397,408.23,,Silver,High Risk,Silver-High Risk
12597.0,19,206,3811.22,267,0.7315068493150685,2787.93,6.1528625,Gold,Low Risk,Gold-Low Risk
12598.0,10,206,4534.09,648,1.7753424657534247,8049.56,,Platinum,High Risk,Platinum-High Risk
12599.0,29,133,2296.72,577,1.5808219178082192,3630.71,8.281478,Platinum,Low Risk,Platinum-Low Risk
12600.0,29,132,5043.92,731,2.0027397260273974,10101.66,8.263307,Platinum,Low Risk,Platinum-Low Risk
12601.0,190,34,681.26,404,1.106849315068493,754.05,,Silver,High Risk,Silver-High Risk
12602.0,59,12,153.12,58,0.1589041095890411,24.33,,Bronze,High Risk,Bronze-High Risk
12603.0,22,3,739.1999999999999,21,0.057534246575342465,42.53,,Bronze,High Risk,Bronze-High Risk
12604.0,79,16,254.18,261,0.7150684931506849,181.76,,Bronze,High Risk,Bronze-High Risk
12605.0,376,76,1232.95,457,1.252054794520548,1543.72,,Gold,High Risk,Gold-High Risk
12606.0,682,1,21.0,681,1.8657534246575342,39.18,90.6767,Bronze,High Risk,Bronze-High Risk
12607.0,60,101,1579.51,59,0.16164383561643836,255.32,20.848324,Bronze,Low Risk,Bronze-Low Risk
